Date,Level
1870-12-30,1120
1871-12-30,1160
1872-12-30,963
1873-12-30,1210
1874-12-30,1160
1875-12-30,1160
1876-12-30,813
1877-12-30,1230
1878-12-30,1370
1879-12-30,1140
1880-12-30,995
1881-12-30,935
1882-12-30,1110
1883-12-30,994
1884-12-30,1020
1885-12-30,960
1886-12-30,1180
1887-12-30,799
1888-12-30,958
1889-12-30,1140
1890-12-30,1100
1891-12-30,1210
1892-12-30,1150
1893-12-30,1250
1894-12-30,1260
1895-12-30,1220
1896-12-30,1030
1897-12-30,1100
1898-12-30,774
1899-12-30,840
1900-12-30,874
1901-12-31,694
1902-12-31,940
1903-12-31,833
1904-12-31,701
1905-12-31,916
1906-12-31,692
1907-12-31,1020
1908-12-31,1050
1909-12-31,969
1910-12-31,831
1911-12-31,726
1912-12-31,456
1913-12-31,824
1914-12-31,702
1915-12-31,1120
1916-12-31,1100
1917-12-31,832
1918-12-31,764
1919-12-31,821
1920-12-31,768
1921-12-31,845
1922-12-31,864
1923-12-31,862
1924-12-31,698
1925-12-31,845
1926-12-31,744
1927-12-31,796
1928-12-31,1040
1929-12-31,759
1930-12-31,781
1931-12-31,865
1932-12-31,845
1933-12-31,944
1934-12-31,984
1935-12-31,897
1936-12-31,822
1937-12-31,1010
1938-12-31,771
1939-12-31,676
1940-12-31,649
1941-12-31,846
1942-12-31,812
1943-12-31,742
1944-12-31,801
1945-12-31,1040
1946-12-31,860
1947-12-31,874
1948-12-31,848
1949-12-31,890
1950-12-31,744
1951-12-31,749
1952-12-31,838
1953-12-31,1050
1954-12-31,918
1955-12-31,986
1956-12-31,797
1957-12-31,923
1958-12-31,975
1959-12-31,815
1960-12-31,1020
1961-12-31,906
1962-12-31,901
1963-12-31,1170
1964-12-31,912
1965-12-31,746
1966-12-31,919
1967-12-31,718
1968-12-31,714
1969-12-31,740
