,runtype,series_X,series_Y,rank,entry_scale,exit_scale,train_start,train_end,test_start,test_end,returns,volatility,sharpe,sortino
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1,0,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,106.3836746,39.34440648,-0.009711806,-0.0125804
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1,0,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,0,0,nan,nan
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1,0,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,440.743988,164.1795625,0.098823099,0.098727165
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1,0,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,-490.8890381,175.2673427,-0.066367556,-0.233073165
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1,0,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,225.7837067,70.25401707,-0.067024095,-0.349886556
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1,0,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,240.3564453,96.45351044,0.027056865,0.039642889
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1,0.5,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,83.02546692,36.46372126,0.073598661,0.076390291
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1,0.5,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,0,0,nan,nan
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1,0.5,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,467.5403137,165.2653713,0.100093759,0.099988198
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1,0.5,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,-490.8890381,175.2673427,-0.066367556,-0.233073165
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1,0.5,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,341.7781067,117.7420336,0.108562212,0.108407599
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1,0.5,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,285.0630798,113.5587026,0.164583119,0.163235265
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1,1,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,162.8913269,53.90687649,0.036820289,0.039160302
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1,1,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,0,0,nan,nan
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1,1,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,437.705658,157.9456862,0.106503896,0.106350257
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1,1,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,-466.1708374,168.6371194,-0.038765958,-0.064592927
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1,1,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,270.0214233,85.00931997,0.107741159,0.107605825
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1,1,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,256.8630676,103.9143628,0.164615951,0.163313489
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1.5,0,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,121.0967789,42.70350161,0.025080311,0.028763119
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1.5,0,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,-117.4338684,57.11214041,0.124356845,0.124030047
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1.5,0,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,265.4595642,100.0756155,-0.109195777,-1.315817881
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1.5,0,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,-467.3722839,168.6888087,0.011556164,0.020474592
