,ATT_Inc,Alcoa_Inc,American_Express_Company,Bank_of_America_Corporation,Caterpillar_Inc,Chevron_Corporation,Cisco_Systems_Inc,E_I_du_Pont_de_Nemours_and_Company,Exxon_Mobil_Corporation,General_Electric_Company,HewlettPackard_Company,Intel_Corporation,International_Business_Machines_Corporation,JPMorgan_Chase__Co,Johnson__Johnson,McDonalds_Corp,Merck__Co_Inc,Microsoft_Corporation,Pfizer_Inc,Procter__Gamble_Co,The_Boeing_Company,The_CocaCola_Company,The_Home_Depot_Inc,The_Travelers_Companies_Inc,The_Walt_Disney_Company,UnitedHealth_Group_Incorporated,United_Technologies_Corp,Verizon_Communications_Inc,WalMart_Stores_Inc
2005-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,,,,,,,,,0.26666666666666666,,,,,,0.06666666666666667,,0.2,,,,0.3333333333333333,,,,,0.13333333333333333,,,
2005-07-01,,,,,0.13333333333333333,0.26666666666666666,,,,,0.3333333333333333,,,,,,,,,,,,,0.06666666666666667,,0.2,,,
2005-10-03,,,,,0.13333333333333333,0.2,,,0.26666666666666666,,0.3333333333333333,,,,,,,,,,,,,,,0.06666666666666667,,,
2006-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-04-03,,,,,0.2,,0.3333333333333333,0.13333333333333333,,,,,,,,,,,,,0.26666666666666666,,,,,,,,0.06666666666666667
2006-07-03,0.3333333333333333,,,,,,,,,,,,,,,,0.26666666666666666,,,,,,,0.13333333333333333,,,,0.2,0.06666666666666667
2006-10-02,,,,,,,0.3333333333333333,,,,,,,,,0.2,,0.26666666666666666,,,,,,,,,,0.06666666666666667,0.13333333333333333
2007-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-04-02,0.3333333333333333,0.13333333333333333,,,0.2,0.26666666666666666,,,,,,,,,,,,,,,,,,,,0.06666666666666667,,,
2007-07-02,,0.13333333333333333,,,0.26666666666666666,,,,,0.2,,0.3333333333333333,,,,,,,,,,,,,,,0.06666666666666667,,
2007-10-01,,,,,,0.2,,,0.06666666666666667,,,,,,,0.3333333333333333,,,,0.26666666666666666,,,,,,,0.13333333333333333,,
2008-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-01,,,,,0.3333333333333333,,,,,0.26666666666666666,,,0.2,0.06666666666666667,,,,,,,,,,,,,,,0.13333333333333333
2008-07-01,,,,,,0.3333333333333333,,,,,,,0.2,,0.06666666666666667,0.13333333333333333,,,,,,,,,,,,,0.26666666666666666
2008-10-01,,,,0.3333333333333333,,,,,,,0.2,,,0.26666666666666666,,0.06666666666666667,,,,,,,,0.13333333333333333,,,,,
2009-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04-01,,,,0.3333333333333333,,,0.06666666666666667,,,,,0.2,,0.26666666666666666,,,,,,,,,0.13333333333333333,,,,,,
2009-07-01,,0.2,,0.3333333333333333,,,,,,,0.13333333333333333,,,,,,,0.26666666666666666,,,,0.06666666666666667,,,,,,,
2009-10-01,,0.13333333333333333,,,0.26666666666666666,,,,,0.3333333333333333,,,,0.06666666666666667,,,,,,,0.2,,,,,,,,
2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-01,,,,0.06666666666666667,,,,0.2,,0.26666666666666666,,,,,,,,,,,0.3333333333333333,,,,0.13333333333333333,,,,
2010-07-01,,,,,0.13333333333333333,,,,,,,,0.06666666666666667,,,,0.3333333333333333,,,,,,,0.26666666666666666,,,,0.2,
2010-10-01,,,,,0.3333333333333333,,,0.26666666666666666,,,,,,,,,,,,,,,0.13333333333333333,,,0.06666666666666667,,0.2,
2011-01-03,,0.3333333333333333,,0.2,0.26666666666666666,,,,,0.13333333333333333,,,,,,,,,,,,,0.06666666666666667,,,,,,
2011-04-01,,,,,0.3333333333333333,0.26666666666666666,,,,,,,,,,,,,0.2,,,,,,,0.13333333333333333,,0.06666666666666667,
2011-07-01,,,0.2,,,,,,,,,,,,0.13333333333333333,0.26666666666666666,,0.06666666666666667,,,,,,,,0.3333333333333333,,,
2011-10-03,,,,,,,,,,,,0.3333333333333333,0.26666666666666666,,,0.13333333333333333,,,,0.06666666666666667,,,,,,,,0.2,
2012-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-04-02,,,0.2,0.3333333333333333,,,,,,,,,0.06666666666666667,0.26666666666666666,,,,,,,,,0.13333333333333333,,,,,,
2012-07-02,0.06666666666666667,,,,,,,,,,,,,,,,0.13333333333333333,,,,,,,,0.2,,,0.26666666666666666,0.3333333333333333
2012-10-01,,,,0.3333333333333333,,,,,,0.13333333333333333,,,,0.26666666666666666,,,,,,,,,0.2,0.06666666666666667,,,,,
2013-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-01,,,0.13333333333333333,,,,,,,,0.3333333333333333,,,,0.06666666666666667,,,,,,0.26666666666666666,,,,,,,0.2,
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
