runtype,series_X,series_Y,rank,entry_scale,exit_scale,train_start,train_end,test_start,test_end,par_rownumber,returns,volatility,sharpe,sortino
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.0,2006-01-01 00:00:00,2006-07-02 00:00:00,2006-07-02 00:00:00,2006-12-31 00:00:00,0,2.73489618301,103.414208972,0.139710680828,0.1611991598
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.0,2006-01-01 00:00:00,2006-07-02 00:00:00,2006-07-02 00:00:00,2006-12-31 00:00:00,0,0.0,0.0,nan,nan
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.0,2006-07-02 00:00:00,2006-12-31 00:00:00,2006-12-31 00:00:00,2007-07-01 00:00:00,1,7.72234153748,246.353260894,0.137770950446,0.141859099791
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.0,2006-07-02 00:00:00,2006-12-31 00:00:00,2006-12-31 00:00:00,2007-07-01 00:00:00,1,5.43806600571,191.010926211,0.0226158324599,0.0311819872272
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.0,2006-12-31 00:00:00,2007-07-01 00:00:00,2007-07-01 00:00:00,2007-12-30 00:00:00,2,6.09955406189,249.41562481,0.181954363387,0.201654685952
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.0,2006-12-31 00:00:00,2007-07-01 00:00:00,2007-07-01 00:00:00,2007-12-30 00:00:00,2,-0.494811832905,279.236722918,-0.128228968883,-0.291228126897
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.0,2007-07-01 00:00:00,2007-12-30 00:00:00,2007-12-30 00:00:00,2008-06-29 00:00:00,3,-0.0267257094383,120.998647775,-0.0940068271132,-1.25182867146
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.0,2007-07-01 00:00:00,2007-12-30 00:00:00,2007-12-30 00:00:00,2008-06-29 00:00:00,3,-1.17538712919,53.9691441703,0.0674516819865,0.0740941987575
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.0,2007-12-30 00:00:00,2008-06-29 00:00:00,2008-06-29 00:00:00,2008-12-28 00:00:00,4,3.87235069275,202.213269016,0.134909629948,0.143698191153
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.0,2007-12-30 00:00:00,2008-06-29 00:00:00,2008-06-29 00:00:00,2008-12-28 00:00:00,4,0.0,0.0,nan,nan
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.0,2008-06-29 00:00:00,2008-12-28 00:00:00,2008-12-28 00:00:00,2009-06-28 00:00:00,5,4.26897621155,169.69797811,0.158982700752,0.187186111659
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.0,2008-06-29 00:00:00,2008-12-28 00:00:00,2008-12-28 00:00:00,2009-06-28 00:00:00,5,2.71400213242,136.753834228,0.136798624186,0.151838486285
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.0,2008-12-28 00:00:00,2009-06-28 00:00:00,2009-06-28 00:00:00,2009-12-27 00:00:00,6,1.14592909813,104.234429209,-0.0948017518478,-0.860173139393
