Time,Value,Signal_bs,Signal_enterExit
2010-01-04,1.0,hold,hold
2010-01-05,1.0,hold,hold
2010-01-06,1.0,hold,hold
2010-01-07,1.0,hold,hold
2010-01-08,1.0,hold,hold
2010-01-11,1.0,hold,hold
2010-01-12,1.0,hold,hold
2010-01-13,1.0,hold,hold
2010-01-14,1.0,hold,hold
2010-01-15,1.0,hold,hold
2010-01-19,1.0,hold,hold
2010-01-20,1.0,hold,hold
2010-01-21,1.0,hold,hold
2010-01-22,1.0,hold,hold
2010-01-25,1.0,hold,hold
2010-01-26,1.0,hold,hold
2010-01-27,1.0,hold,hold
2010-01-28,1.0,hold,hold
2010-01-29,1.0,hold,hold
2010-02-01,1.0,hold,hold
2010-02-02,1.0,hold,hold
2010-02-03,1.0,hold,hold
2010-02-04,1.0,hold,hold
2010-02-05,1.0,Enter,buy
2010-02-08,0.9459547996520996,hold,hold
2010-02-09,2.0448269844055176,hold,hold
2010-02-10,1.9725552797317505,hold,hold
2010-02-11,2.4764840602874756,hold,hold
2010-02-12,1.7399048805236816,hold,hold
2010-02-16,2.3672609329223633,hold,hold
2010-02-17,2.678114891052246,hold,hold
2010-02-18,3.3417749404907227,hold,hold
2010-02-19,3.8926944732666016,hold,hold
2010-02-22,4.294981002807617,hold,hold
2010-02-23,3.779431104660034,hold,hold
2010-02-24,3.9598376750946045,hold,hold
2010-02-25,3.503509044647217,hold,hold
2010-02-26,3.703643560409546,hold,hold
2010-03-01,3.9779067039489746,hold,hold
2010-03-02,4.270712852478027,hold,hold
2010-03-03,4.259077072143555,hold,hold
2010-03-04,5.090665340423584,Exit,sell
2010-03-05,5.090665340423584,hold,hold
2010-03-08,5.090665340423584,hold,hold
2010-03-09,5.090665340423584,hold,hold
2010-03-10,5.090665340423584,hold,hold
2010-03-11,5.090665340423584,hold,hold
2010-03-12,5.090665340423584,hold,hold
2010-03-15,5.090665340423584,hold,hold
2010-03-16,5.090665340423584,hold,hold
2010-03-17,5.090665340423584,hold,hold
2010-03-18,5.090665340423584,hold,hold
