0,1,2,3,4,5,6,7,runtype,returns,volatility,sharpe,sortino,maxDD_level,DD_level_start,DD_level_end,DD_level_length,maxDD_duration,DD_duration_start,DD_duration_end,DD_duration_length,ETL_5,ETL_1
x,y,1.0,3.0,2012-01-01 00:00:00,2012-07-01 00:00:00,2012-07-01 00:00:00,2012-12-30 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,y,1.0,3.0,2012-07-01 00:00:00,2012-12-30 00:00:00,2012-12-30 00:00:00,2013-06-30 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,y,1.0,3.0,2012-12-30 00:00:00,2013-06-30 00:00:00,2013-06-30 00:00:00,2013-12-29 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,y,1.5,3.0,2012-01-01 00:00:00,2012-07-01 00:00:00,2012-07-01 00:00:00,2012-12-30 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,y,1.5,3.0,2012-07-01 00:00:00,2012-12-30 00:00:00,2012-12-30 00:00:00,2013-06-30 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,y,1.5,3.0,2012-12-30 00:00:00,2013-06-30 00:00:00,2013-06-30 00:00:00,2013-12-29 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,y,2.0,3.0,2012-01-01 00:00:00,2012-07-01 00:00:00,2012-07-01 00:00:00,2012-12-30 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,y,2.0,3.0,2012-07-01 00:00:00,2012-12-30 00:00:00,2012-12-30 00:00:00,2013-06-30 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,y,2.0,3.0,2012-12-30 00:00:00,2013-06-30 00:00:00,2013-06-30 00:00:00,2013-12-29 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,y,2.5,3.0,2012-01-01 00:00:00,2012-07-01 00:00:00,2012-07-01 00:00:00,2012-12-30 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,y,2.5,3.0,2012-07-01 00:00:00,2012-12-30 00:00:00,2012-12-30 00:00:00,2013-06-30 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,y,2.5,3.0,2012-12-30 00:00:00,2013-06-30 00:00:00,2013-06-30 00:00:00,2013-12-29 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
