SeriesName,LookupTicker,Type,Index,Source,StartRange,EndRange,Frequency
SAG,4228.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Anglo_American_plc,AAL.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Associated_British_Foods_plc,ABF.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Admiral_Group_plc,ADM.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Aggreko_plc,AGK.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
AMEC_plc,AMEC.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Antofagasta_plc,ANTO.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
ARM_Holdings_plc,ARM.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Aviva_plc,AV.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
AstraZeneca_PLC,AZN.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
BAE_Systems_plc,BA.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Babcock_International_Group_plc,BAB.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Barclays_PLC,BARC.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
BG_Group_plc,BG.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
BHP_Billiton_plc,BLT.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Bunzl_plc,BNZL.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
BP_plc,BP.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Burberry_Group_plc,BRBY.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
BT_Group_plc,BT-A.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Carnival_plc,CCL.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Centrica_plc,CNA.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Compass_Group_PLC,CPG.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Capita_plc,CPI.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Croda_International_plc,CRDA.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
CRH_plc,CRH.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Diageo_plc,DGE.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Eurasian_Natural_Resources_Corp_Plc,ENRC.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
EVRAZ,EVR.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Experian_plc,EXPN.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Fresnillo_PLC,FRES.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
G4S_plc,GFS.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Whitbread_PLC,WTB.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
GLENCORE_XSTRAT,GLEN.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
GlaxoSmithKline_plc,GSK.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Hargreaves_Lansdown_Plc,HL.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Hammerson_plc,HMSO.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
HSBC_Holdings_plc,HSBA.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Intercontinental_Hotels_Group_plc,IHG.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
IMI_plc,IMI.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Imperial_Tobacco_Group_plc,IMT.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Intertek_Group_plc,ITRK.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
ITV_plc,ITV.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Land_Securities_Group_plc,LAND.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Legal_and_General_Group_Plc,LGEN.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Lloyds_Banking_Group_plc,LLOY.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Marks_and_Spencer_Group_plc,MKS.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Melrose_Industries_PLC,MRO.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
National_Grid_plc,NG.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Next_Plc,NXT.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Old_Mutual_plc,OML.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Petrofac_Limited,PFC.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
POLYMETAL_INTL,POLY.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Prudential_plc,PRU.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Pearson_plc,PSON.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Reckitt_Benckiser_Group_plc,RB.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
The_Royal_Bank_of_Scotland_Group_plc,RBS.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Royal_Dutch_Shell_plc,RDSB.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Reed_Elsevier_plc,REL.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Rexam_plc,REX.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Rio_Tinto_plc,RIO.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Rolls_Royce_Holdings_plc,RR.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
RSA_Insurance_Group_plc,RSA.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
SABMiller_plc,SAB.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
J_Sainsbury_plc,SBRY.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Schroders_plc,SDR.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Standard_Life_plc,SL.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Smiths_Group_plc,SMIN.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Smith_and_Nephew_plc,SN.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Serco_Group_plc,SRP.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Standard_Chartered_PLC,STAN.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Severn_Trent_plc,SVT.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Tullow_Oil_plc,TLW.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Tesco_PLC,TSCO.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
TUI_Travel_PLC,TT.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Unilever_plc,ULVR.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
United_Utilities_Group_PLC,UU.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Vedanta_Resources_plc,VED.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Vodafone_Group_Public_Limited_Company,VOD.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
The_Weir_Group_PLC,WEIR.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
John_Wood_Group_plc,WG.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
William_Hill_plc,WMH.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
Wolseley_plc,WOS.L,equity,FTSE100,yahoo,1/1/2005,1/2/2005,d
